LocID,Location,Time,PopTotal,PopDensity
4,Afghanistan,2020,38928.341,59.627
903,Africa,2020,1340598.113,45.216
8,Albania,2020,2877.8,105.029
12,Algeria,2020,43851.043,18.411
16,American Samoa,2020,55.197,275.985
20,Andorra,2020,77.265,164.394
24,Angola,2020,32866.268,26.363
660,Anguilla,2020,15.002,166.689
28,Antigua and Barbuda,2020,97.928,222.564
32,Argentina,2020,45195.777,16.515
51,Armenia,2020,2963.234,104.083
533,Aruba,2020,106.766,593.144
935,Asia,2020,4641054.786,149.552
36,Australia,2020,25499.881,3.319
927,Australia/New Zealand,2020,30322.114,3.816
40,Austria,2020,9006.4,109.289
31,Azerbaijan,2020,10139.175,122.664
44,Bahamas,2020,393.248,39.286
48,Bahrain,2020,1701.583,2238.925
50,Bangladesh,2020,164689.383,1265.187
52,Barbados,2020,287.371,668.305
112,Belarus,2020,9449.321,46.569
56,Belgium,2020,11589.616,382.748
84,Belize,2020,397.621,17.432
204,Benin,2020,12123.198,107.513
60,Bermuda,2020,62.273,1245.46
64,Bhutan,2020,771.612,20.243
68,Bolivia (Plurinational State of),2020,11673.029,10.775
535,"Bonaire, Sint Eustatius and Saba",2020,26.221,79.942
70,Bosnia and Herzegovina,2020,3280.815,64.33
72,Botswana,2020,2351.625,4.149
76,Brazil,2020,212559.409,25.431
92,British Virgin Islands,2020,30.237,201.58
96,Brunei Darussalam,2020,437.483,83.014
100,Bulgaria,2020,6948.445,64.006
854,Burkina Faso,2020,20903.278,76.401
108,Burundi,2020,11890.781,463.037
132,Cabo Verde,2020,555.988,137.962
116,Cambodia,2020,16718.971,94.714
120,Cameroon,2020,26545.864,56.157
124,Canada,2020,37742.157,4.15
915,Caribbean,2020,43532.374,192.613
136,Cayman Islands,2020,65.72,273.833
140,Central African Rep.,2020,4829.764,7.753
916,Central America,2020,179670.186,73.267
5500,Central Asia,2020,74338.926,18.931
921,Central and Southern Asia,2020,2014708.531,195.093
148,Chad,2020,16425.859,13.045
830,Channel Islands,2020,173.859,915.047
152,Chile,2020,19116.209,25.71
156,China,2020,1439323.774,153.312
344,"China, Hong Kong SAR",2020,7496.988,7139.989
446,"China, Macao SAR",2020,649.342,21717.124
158,"China, Taiwan Province of China",2020,23816.775,672.6
170,Colombia,2020,50882.884,45.861
174,Comoros,2020,869.595,467.273
178,Congo,2020,5518.092,16.158
184,Cook Islands,2020,17.564,73.183
188,Costa Rica,2020,5094.114,99.767
191,Croatia,2020,4105.268,73.361
192,Cuba,2020,11326.616,106.413
531,Curaçao,2020,164.1,369.595
196,Cyprus,2020,1207.361,130.667
203,Czechia,2020,10708.982,138.646
384,Côte d'Ivoire,2020,26378.275,82.951
408,Dem. People's Republic of Korea,2020,25778.815,214.092
180,Democratic Republic of the Congo,2020,89561.404,39.506
208,Denmark,2020,5792.203,136.512
262,Djibouti,2020,988.002,42.623
212,Dominica,2020,71.991,95.988
